id,Users rated
174430,24574
161936,30921
182028,15551
167791,38331
12333,34268
187645,16474
220308,9104
169786,39173
193738,19000
233078,6534
120677,32471
115746,9746
84876,36476
162886,10675
224517,5397
173346,40305
180263,8841
183394,17334
124361,19697
205637,17266
3076,56238
28720,14931
102794,23540
96848,23403
31260,56793
205059,16398
164928,15768
177736,11040
175914,9579
170216,25382
209010,11076
55690,5806
221107,7101
164153,16491
2651,49762
25613,16865
230802,27354
126163,24350
72125,23936
35677,23015
121921,26637
171623,15322
216132,8826
124742,24235
68448,68569
122515,15845
28143,40440
18602,24595
62219,15654
185343,6928
110327,38400
159675,5720
205896,10452
12493,17211
157354,25545
146021,23494
237182,7002
93,21164
178900,50564
266192,5821
201808,16882
40834,27000
163412,33233
125153,6707
172386,8532
37111,29721
132531,21292
2511,13412
73439,15039
146508,18866
144733,12083
42,23063
102680,12493
103885,20701
30549,82770
36218,67921
150376,32598
521,9406
161533,4029
127023,13105
198928,6061
104162,19241
34635,38027
200680,4611
175155,6007
170042,8491
161970,14580
196340,5832
147020,28204
146652,9172
9609,9461
191189,5038
155426,18733
172287,8697
148949,19774
103343,23914
194655,17253
128882,22426
182874,8292
14996,47193
43111,13177
17133,10414
70149,8843
236457,5434
229853,4415
123260,18904
155068,7762
14105,7410
155821,8332
126042,10034
77423,18057
171131,11822
224037,7847
54043,27847
203993,5517
39463,23911
221194,5966
91,4044
195421,4775
21050,4871
43015,10093
10630,22622
104006,17327
233371,4951
199561,14413
9216,10452
4098,7393
31627,9838
148228,44723
192135,2451
215,12004
146886,6716
27833,8896
176189,9517
188,13177
239188,4296
555,14025
129437,16932
128621,8285
9209,60151
118048,8898
175640,2615
25021,3333
12,17433
188920,4975
82222,5409
20551,11898
54998,15333
31481,25495
822,84425
463,27795
197376,7869
182631,4178
163068,4707
233398,3179
154203,17389
7854,6354
192291,13497
140620,10995
24181,7832
155873,3051
19857,12069
97207,10948
156129,11074
22545,9481
176494,15504
27708,7950
225694,4646
198994,7905
127060,8019
93260,9719
234,4574
146439,4824
421,3951
59294,7243
108745,17498
193037,5664
38453,13598
188834,11223
203420,5786
48726,13112
92828,13327
199792,3664
109276,4146
101721,6800
66589,7233
181304,23088
3,13455
54138,5018
181279,8196
172818,10035
220877,5008
19777,3522
233867,5317
760,14051
204583,19592
17392,3290
13122,3147
77130,13225
172081,6065
244522,5368
160477,9960
144344,6236
45315,12000
41114,31650
40692,53321
245638,4041
59959,11732
163745,3829
119890,10956
176734,3624
223321,2495
176920,7110
2655,24850
25292,11467
199478,6593
118,14199
37046,17346
136888,8837
39856,41225
257501,5447
169426,6826
1,4777
5,16946
54,16093
209685,12446
143693,7812
182134,4261
21241,11915
206718,6556
46213,9886
189932,3258
158600,5907
33160,8677
36932,6287
70919,27810
15985,3262
139976,3472
163967,11542
129622,46666
25554,11235
228341,3640
40765,4703
31594,9706
243,3243
121,5082
63628,8287
124708,14250
198773,12536
8217,20692
71,6703
2653,17225
24480,14981
123123,2653
54625,6373
9217,13419
70323,48246
222509,2845
39683,8338
21348,8309
154809,3361
90137,9393
167355,2140
217372,5057
144592,3919
232832,3503
55670,6433
15987,34185
244521,4386
105134,6722
140934,7159
218417,1589
66188,10557
79828,6875
199042,6797
172,19669
96913,5996
40354,2372
204305,2539
192458,3574
100901,17968
176396,8620
166669,4302
66362,8027
25417,8915
18833,5168
157969,23615
151347,3078
128996,3181
11170,7433
138161,9050
234487,4181
712,4954
27162,17177
227789,3703
150658,7861
5404,8035
83330,11933
183562,2372
146791,2904
136063,20884
137408,4863
63888,12927
17226,10885
65781,5965
219513,6588
50,31781
128671,6156
161614,4154
195539,3872
102652,13262
194594,8531
98778,31860
105551,6441
171668,9816
58421,4799
177639,5552
34219,12916
875,2762
147949,16864
13,84736
192153,5836
111341,2576
62227,3773
186751,1808
95527,3254
97786,8649
36553,2675
62222,2218
162082,6122
127398,11533
133038,11184
158899,18790
205359,3634
73171,3068
218603,9951
43570,13114
90419,6322
206941,3691
150,8661
125618,11025
42052,4107
133848,7736
155987,7651
229220,3270
119506,3275
27173,7498
15062,23454
163968,7189
475,6648
128271,4382
478,43601
3685,3618
160010,3206
141572,7291
34119,10487
169255,3445
31999,2760
232405,2788
6472,9789
9674,14353
209778,10137
191862,8386
192836,2548
250458,2931
155703,10711
39351,5092
18,21191
97842,8085
20437,5616
247763,1809
21790,16650
22827,6666
140603,3936
15363,8136
372,5683
39938,6326
194607,6464
170771,2228
47,6921
27746,7943
116998,4376
133473,26452
1513,3698
113924,14137
2346,4044
256226,3021
9625,3598
165722,2916
42776,4298
31730,6797
181530,3568
119432,3825
159508,5485
11,33647
187617,1734
92415,9652
193042,3474
151022,2909
180974,8703
143519,5655
150997,1939
3307,3399
232043,4763
156546,2339
183251,6630
50750,5563
153938,18598
121408,6978
12942,17491
163166,3929
128780,2467
144189,1733
181521,4290
144797,2337
221965,4175
174785,2816
58281,5749
130960,1478
156009,9379
134726,5952
91312,8275
121288,3855
30869,8517
135219,1952
42215,9478
6249,25135
215311,3713
171,24191
4390,10280
172308,6158
184921,3998
65532,4992
131357,28986
586,2040
1353,4519
160495,2547
17405,1503
28023,13826
70512,3914
88,7956
24508,7005
192457,4794
20963,8681
246192,2945
503,11764
30380,7490
155624,4826
3201,6215
167400,4363
180511,3195
36235,3360
21763,13584
126792,4487
84419,2545
10547,30241
113294,13976
18098,1627
37904,14975
15364,5820
9823,2171
24800,2907
79127,2992
209418,1624
162007,4715
68425,8601
26997,1847
212445,1573
123540,16007
158889,1360
236191,2121
46,6573
55600,3407
117959,7471
168584,4436
2163,3469
13004,6767
113997,4494
137988,3683
38996,2183
203416,3693
31563,3723
215341,1534
110277,6120
166384,15187
111799,1958
179803,1468
107529,16653
22345,7443
73761,7751
100423,19307
146278,5142
233312,2035
43528,4211
148575,5249
173442,1564
41002,4061
246784,2367
143741,15774
160499,11905
196326,2668
5782,15904
205398,3646
47185,5441
82421,2419
143515,3805
170416,4398
29603,1287
224597,1935
131287,3170
168435,7847
117915,3092
171499,6364
132018,1964
156336,5904
91872,4931
162286,2746
35570,3653
103886,4899
193558,3296
170561,2822
28181,1324
82420,2205
156689,2292
41066,1421
139898,2367
30957,4221
156858,2541
132028,1549
1035,2930
156943,2342
177590,2817
12891,2375
213893,3978
72321,3832
242574,3024
179275,5018
244992,8353
244711,1807
94,4077
528,3635
7717,6975
203417,3872
483,11135
69789,10483
198953,1371
65901,2767
154825,1504
2955,4328
12002,7680
21882,7159
137269,5308
169654,6600
151004,3354
200147,5021
20100,11898
12962,4792
699,9657
163602,6807
165401,1560
153016,1679
71721,11190
242302,2658
2181,2736
27976,2147
216734,2233
234277,2154
2453,19872
40628,6263
12902,4022
155362,10345
220520,3175
156566,4213
9440,4706
1345,5715
257499,1670
26566,3225
119788,3718
171273,5401
145659,4086
158275,3476
1041,4043
202408,4333
69779,1841
148319,3484
491,3217
201921,4456
161417,9831
2398,7073
173064,1626
232219,3076
53953,9620
98351,3705
8125,4610
191051,2491
108784,3163
193949,1903
13642,5185
129948,3508
106217,3821
52461,3627
244228,3302
29368,13024
108906,2744
66356,5275
224710,1629
169124,6214
240,3854
194879,5500
45,11125
432,15389
72225,3412
202426,1509
201825,3087
183840,6528
51,7211
260428,1428
26990,4040
154458,2843
191977,4590
174570,2066
37380,10855
175117,6014
85897,2547
939,1993
95064,2975
89409,1577
172047,2673
904,4761
160851,7703
147151,11983
173,7447
8051,6157
65244,35136
98229,2619
19600,4459
122298,5993
16747,3455
554,4903
171669,3736
30645,2987
45986,3243
168917,2749
131646,3307
158435,1975
203427,3895
197443,2536
15512,14628
38054,5553
177678,2049
160018,2559
1301,2227
66505,4459
180680,2205
207830,3775
27588,12935
200077,3690
161866,2031
1822,1549
104363,3838
91514,6317
224,4194
22825,3624
2093,5697
104710,4302
233247,2500
165838,1354
59946,7789
245934,1777
72287,6539
41,10809
181687,2661
60,3834
67492,2620
156776,2513
141517,2901
179172,2697
15817,5053
220,6332
8045,2044
55427,2682
204027,5270
195560,1869
150999,3558
240196,1125
135382,3010
175324,2649
157403,4236
197070,2979
195137,1557
551,3332
154086,1808
178336,2589
127518,1164
241451,861
131260,6897
25568,3837
136991,4317
18100,4172
97903,6652
66056,4820
185589,2425
122522,20470
25669,13413
171233,4448
1465,6777
94246,2032
137649,1739
254640,1587
38823,1394
125678,5281
191231,3105
56692,5000
68264,1279
50768,2494
204516,1581
17396,2223
1382,4613
35497,3622
71671,3477
5737,4096
152162,4279
207691,1889
6830,2309
180593,4676
8203,17528
216459,2882
245654,2022
1634,2215
130176,3064
75449,2160
142326,3870
159473,1976
184151,1596
226320,1727
156091,2163
226522,1081
182340,1154
164265,2057
104020,2370
230080,3489
231581,1550
91536,12477
163839,1610
121410,5014
157809,4028
27364,4649
221,4613
35052,2189
183880,3044
200954,2353
197405,1455
1608,2009
153065,3436
151007,2108
34084,3494
124,4409
327,7519
207336,3385
21523,7457
157001,1514
44163,5573
823,13106
193214,2563
833,1331
37628,3658
42910,2563
217449,3916
40793,6099
23094,2530
258036,1566
234671,1258
121297,4052
235802,682
223953,1539
4099,2902
218333,1995
176544,1794
57390,2806
30381,2978
207243,1175
38159,3434
187377,2226
17329,5941
8989,4778
2507,2478
134352,3472
91873,2340
140933,5360
176165,2462
135779,2599
30618,1492
230,2551
24068,7332
18258,3950
177524,5441
95103,3163
11825,1094
19100,3901
39953,5667
53093,1687
123955,983
154246,4234
198454,2447
212402,2447
163154,1031
132372,3629
244271,873
60435,2228
145639,3058
37836,1206
164338,1889
157526,4483
527,2684
91080,1431
855,3187
278,12108
175199,2952
194880,3927
147303,2611
202670,1869
182694,1690
216092,1911
204836,2182
174660,4533
112,7424
25643,3931
1261,2759
190082,1185
13823,7979
35815,4195
150145,2035
152470,1709
25821,8486
177802,1374
105,6709
229265,1229
22141,5981
171879,1748
111124,2770
104347,3804
16992,19853
143884,21030
137297,6860
12995,5524
165872,1044
102548,5080
42452,5274
12495,2878
1159,4287
119591,3449
15126,1044
181796,1637
16395,4582
134253,2918
184424,832
131014,1459
154386,2994
145371,920
221318,2032
195162,1876
681,4788
143405,2052
10,7383
105037,2664
103,3755
223750,1428
9203,4514
230253,860
37919,1935
43443,12629
106,3143
205716,1919
354,2555
269385,915
159109,2774
21441,3754
141423,2219
160610,1397
163642,1491
219215,1789
256382,2650
249259,938
47055,1462
1540,3131
29934,2785
120523,2099
15,3761
235488,1889
170624,1106
180899,1778
39684,2378
2338,4072
109125,1138
117985,2817
72991,2424
61692,1607
43022,2761
10640,4871
223040,1518
75165,1719
165986,1929
150312,9332
195314,2143
33604,5114
41916,3921
16986,6681
166226,1830
262215,1208
191876,2106
20542,916
902,3139
878,3738
66,2312
129051,2965
230085,1440
163413,1677
198740,1724
96007,1224
205597,2286
173090,6308
229892,939
826,7098
191300,1962
1897,4722
